lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob
0.9999999999788214,9.695459090156985e-13,1.0724448409402683e-35,1.9951868438278386e-38,1.7560661774166422e-26,1.112792802959306e-29,7.922462457761552e-37,2.1916755113229937e-24,1.2921991540428516e-29,2.0496493938168158e-19,4.603110799878995e-25,6.888919305381456e-29,2.3374510707650763e-28,4.041332797399893e-17,2.77257089370522e-24,2.8510721737500992e-24,1.6272810902188348e-22,5.904655020095359e-13,3.6679291675152514e-13,1.886593501751465e-11,3.8601927802905643e-13
2.7599166875564177e-05,2.53590609189282e-11,6.663462297704434e-26,2.8025994495901593e-30,1.2052574590811783e-15,2.627507390066e-13,1.0190025952198307e-08,1.8263455520576982e-05,6.938800807845421e-09,5.84154904915862e-10,0.2615862945158642,0.00022222896500707982,5.04441993387718e-05,4.5266759340695486e-06,0.003021783759262526,8.990747604280213e-05,0.00016580876220645134,3.929532304954098e-07,5.317389310241683e-06,0.7303039544942038,0.004503460448598694
0.004004327877473809,4.257337817669656e-15,6.455661585824932e-34,2.133773898305841e-45,2.8251574472163756e-34,1.8506545773491325e-18,4.354341706896941e-28,7.170847552737768e-15,4.883261405806653e-16,3.5873813660220493e-13,6.284201530711508e-10,2.9912531518428883e-09,4.38762571518209e-10,6.729252252361054e-11,1.890384632150289e-12,2.552358316852068e-12,3.436691071867824e-11,0.9959956578389253,4.570768748459062e-09,5.547670515738015e-09,2.528474204393973e-13
5.022240167197439e-12,4.781864843102815e-16,4.1773389751553373e-10,5.104045660053065e-09,4.813617232520606e-10,6.839194867447956e-09,5.567494284344066e-14,9.56159788812102e-12,6.961694004705736e-16,0.00016822486774256242,1.4364263415727608e-10,2.5215725630376595e-11,1.224275549121789e-13,0.9998299011865585,1.0698117786813362e-14,4.0630344874839186e-27,6.609110127778688e-28,3.794678099460122e-12,1.8606368563925116e-06,2.790797508885808e-10,5.570774923054917e-18
3.784057320830535e-07,0.9999973202342858,2.8962815568259303e-19,2.265415186061592e-23,4.8109396870415465e-29,5.1772906761114096e-15,4.478139285303727e-15,3.626812872049788e-18,2.5599725187155826e-18,1.0376909944970093e-08,3.477166610201594e-20,6.3175963237728975e-21,1.0370192414643961e-21,2.290952435847425e-06,1.1384979361121569e-21,3.6525697872288877e-33,1.4126152798722335e-33,3.062680315374544e-11,6.886044570824948e-17,4.7620644028866965e-23,4.4456350644942095e-28
0.03408744864467679,1.3585452510035738e-06,5.349304388118079e-27,1.1219658064273583e-31,1.3297302596118178e-30,1.4537359480868502e-15,2.402738057499304e-21,2.6447044138730608e-18,4.5890774101703244e-26,5.2448089344057556e-08,2.988863438678073e-29,1.32662791455061e-24,9.686341758383972e-25,9.764664627653104e-06,6.702657424992193e-28,8.93325673466428e-40,2.8554494147442915e-30,0.9659013756973513,1.8114569806844388e-15,7.474099628889789e-16,2.628727852726577e-18
0.0027665044940133406,0.9972294880781867,9.077321154690971e-14,2.957457336689351e-17,1.219582162894433e-18,6.125065198256385e-08,4.3413579243565965e-12,1.723218458222027e-11,2.093408191918815e-14,3.8720139803170875e-06,4.656219787331971e-22,3.49092287052278e-19,1.4607617309447961e-18,1.380264227980468e-13,1.8775369596759192e-25,6.236691560038159e-37,3.027287190841762e-38,1.4057387961222e-15,7.414134323965283e-08,8.342252184709324e-17,3.061597871459972e-19
9.524575351641376e-10,1.4323559274000208e-13,6.164206574861621e-25,2.0833146741035372e-35,5.23321146491613e-30,2.3367706561518456e-11,6.6077817256481016e-24,1.0157551439605451e-18,3.9478378885224896e-26,4.53783805864003e-10,2.1326138238769954e-51,1.0581742329079107e-25,8.552555712001579e-24,4.587450306074045e-07,5.186653393613611e-40,1.0675466401079306e-44,5.609565615809334e-29,0.9999995398241669,9.776378316561182e-18,9.419901681761392e-13,1.0836743560312452e-13
0.01726921903700049,0.03697766955704392,4.068870635757265e-14,7.47362967561357e-18,6.757572369492243e-16,0.13757655103928623,2.060523465355122e-12,4.24502383343859e-05,2.7780977020381453e-05,0.8040180154355341,2.451131651157643e-40,4.4619611339182406e-14,2.655890196329155e-05,2.9718895255711385e-08,4.492949932648375e-25,3.036998894634417e-32,1.6480991361043557e-20,2.6281265016811328e-08,0.004061171337803045,1.325746332941686e-09,5.261479610044513e-07
4.2203464058049355e-05,4.3770249212375695e-22,6.805773804641206e-42,1.24977116513603e-48,2.377851505443246e-34,6.031095693168363e-27,1.3729594531446434e-20,2.199406251851545e-11,5.089800546709628e-11,7.118927644741238e-25,1.7238487718815262e-07,8.79541739285734e-08,3.2213196969663653e-15,3.0626211590379974e-15,6.6975631939036425e-06,1.5241419426643534e-06,3.1547224223366043e-07,5.6426766781955456e-15,0.000941535709835238,0.8513515392311369,0.14765592400563596
