PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Label
-0.4896648667286871,-0.49929787695538863,1.1562434884092854,1.048426325709913,-0.05691654306232227,-0.6438293246584501,0.36759543672118883,-0.8093107429865973,0.20166089514950092,-0.7276268301346287,1
1.4094797788357771,-1.8336066124310102,-2.5329911937220504,-1.6337912012803404,0.2530434278853154,-3.234741682550729,1.4623541981955939,-0.03990293600613482,-0.28440051769740543,-0.43575044964757315,0
-1.5954255559321533,0.502872867596571,-0.4863757594665506,0.22757372328777065,0.05534707363959601,-0.23695967883423275,0.32855208457457585,0.2898338450204564,0.1254119328868418,0.0910780586143546,1
0.20569868423230642,-0.8969933757744991,1.8453925463974512,1.3644460517408652,-0.004132775988941877,-0.7260242794204597,0.56386601801339,-1.1592958514000906,0.23265364286483614,-0.7203298479671225,0
-0.5266238631130348,-0.900714810947884,1.0853656557212228,0.7985649888835467,-0.8531319846312121,-0.5027428339517229,-2.0481251996035836,1.5083802845350738,-1.5104646768987458,1.0223054603631228,1
2.187437407110554,3.5398818707983066,0.02227230232256755,0.09450822556007549,1.8303837765797464,-2.1673572749848264,-2.1776288084643762,-0.12190880478049618,0.616524769333924,-0.546230039015429,0
-0.23250239742477072,-0.8278121708831899,0.8155761683199193,-1.8291996775083126,0.822288859983224,1.4156397692772948,-1.4595743006980597,0.051543876584177674,1.2078692543412712,-0.0519844489488276,0
0.7415892626569791,-0.477909732621427,-1.3615146094332793,1.533610022956309,2.8114292884670613,2.001973211621721,0.41478520267675034,0.19093432195589982,-1.3866001647658894,-0.9707753821584268,0
0.9209289386157241,0.07282117918116325,-1.3114782631191895,1.4235390395278904,2.9760407386624115,1.336065585148016,-0.08003198859221428,-0.048603990049138075,-1.1853719706026205,-0.7854796198243487,0
1.0637949936024522,1.334662916817141,0.852453892437788,0.21902031333491437,-0.9438648562249183,0.05454393858078362,0.0023850468486225473,1.0529240137251927,-1.7124875816735394,-1.3330157411553403,0
0.5689558037267586,-0.9001473089495529,0.5717569595458822,-1.9945072173936393,0.33658574190079027,-0.8829242469603962,0.6924963831548854,0.7773975303342602,-0.5409300732429332,-0.515803729198705,1
-0.2780493523514164,-0.7116139278025536,0.7200152124927308,-1.6513963072351985,0.8007395661503931,1.2926147577053388,-1.3017423284166254,-0.02382092735874954,1.1375762133489407,0.08757463260485099,1
0.9176368319890578,-1.278258616334054,-1.1236983189200513,-1.0523526057021442,-0.08238745000022145,-1.5042077386573456,0.5807519316419338,0.22921458758397034,-0.07205774985000689,-0.06413939565826406,0
-0.31175384187498045,0.13650554221498293,-0.1143867744899809,1.0568230831378762,1.4350316205913747,-0.09059383795957263,1.5362624583090814,1.4509099339867044,1.097137726116611,2.782870973538727,1
2.3148963341337616,3.7969237099052884,0.13774941389810005,-0.015398400963328488,1.9272317470506777,-2.334346815215919,-2.281641587130385,-0.05874354346614256,0.23645175788781841,-0.6344724182511412,0
