lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob,y
0.0047329523745933,4.79637264828853e-09,3.682379578209312e-09,2.242124130052434e-09,1.2140170873259942e-11,0.9163239594135416,2.126212710133748e-22,3.2209397089829674e-24,2.5294072596911216e-13,0.0789072753920272,1.3137864613453032e-17,3.933666654912762e-20,4.7160821001796686e-11,3.40131308297731e-05,6.951246802973368e-12,5.320529470593337e-19,2.5398673386960585e-19,1.764250265711741e-06,2.2361256293487933e-08,2.2126261997871462e-09,7.747794447380041e-11,1
1.4303590748192623e-54,2.8593653437639244e-38,1.0956664532724408e-32,2.2586631049396722e-65,2.16757815820056e-63,2.091720031856706e-142,7.109822500179836e-214,1.8200806550907444e-126,6.909776048717218e-82,5.996885782470348e-17,3.662638723094414e-138,8.560269845726437e-79,3.851683410899232e-47,1.570419051222841e-13,2.8609637180608535e-74,9.50476191307262e-43,7.11907771262429e-11,0.0009998263918958,2.398472547559535e-07,0.0004589149277589,0.9985410187617426,0
6.885190893472256e-08,1.5458845146310621e-07,8.301742876995432e-09,2.2771047694826333e-14,1.2874066766297531e-14,0.9981015216701136,1.0368833697852924e-11,8.30124059512899e-13,5.62229281666498e-13,0.000882282287312,4.318098816349448e-14,7.06573556443231e-14,8.625021921150788e-13,0.0010137763966832,7.167791176128856e-14,4.311165964421957e-12,7.894466403812707e-10,2.1840873335705395e-06,5.0110284013796464e-14,9.499502531834332e-15,3.0097917680743476e-09,1
0.0102774693163607,4.842613740947983e-11,8.554465660892171e-10,0.0005846900954998,0.3681698383326855,0.5641158884627143,8.359269805445875e-14,8.158405849405675e-11,7.484230254054833e-14,0.0099667453152031,0.0444971846644054,4.1058239331601226e-15,9.65142473003443e-13,0.0013273792705608,9.449884780927612e-13,1.0130860618522844e-14,3.053394048947827e-15,4.167720519993694e-06,4.742162532369136e-07,2.538321404511128e-14,0.0010561616182287,0
5.893811544213506e-10,4.16878875784139e-05,8.113280446848094e-06,1.3625093540434403e-09,3.098791349359828e-17,0.9562708018425355,0.02409339162123,4.274797021937825e-06,1.6037337422736832e-07,0.019580159724901,5.701678129121852e-08,1.131162245801148e-09,1.3351888965356373e-06,8.220765773731772e-09,1.3394233903488455e-16,3.63487073363597e-13,6.954288177651156e-09,2.6801129237447466e-12,6.051938705531515e-12,6.0466483047112454e-15,2.5522939356154163e-14,1
3.1003518485769207e-25,2.359345168134612e-21,1.876972506628921e-18,1.2879838994848837e-15,1.1783283003913064e-07,1.1154913804857388e-15,0.2318794316875334,0.4765740055544311,9.063922972158404e-05,1.656489528980523e-20,5.211689350587809e-07,0.2722192786819272,0.0192359856931717,2.260007856473989e-19,1.3444060972171463e-20,4.071122295004892e-12,2.0147376009222424e-08,5.579953721955641e-21,2.3300535957332837e-24,9.00415609565481e-25,1.2196770546207146e-16,0
3.469720311192875e-27,1.6019824551520128e-16,2.526912337069521e-12,1.336525391020281e-08,7.273562926965078e-14,1.1624609570316326e-10,3.571636832500349e-08,1.7429709143219728e-10,4.6164155779971704e-10,1.218446401200385e-15,1.0553456732498792e-08,7.807958358567545e-17,6.655436717782122e-16,3.415735559618217e-09,0.9993584978042566,1.2714615485304866e-18,1.4620976199465336e-19,6.560040709372229e-12,0.0004963383101799,0.000144973298273,1.2677512914081686e-07,0
4.522858211840465e-18,2.082561405085839e-16,2.896599560015812e-11,0.0081671626637062,3.143745734991771e-05,0.000165525118183,1.217137429040762e-10,1.507049024419061e-06,1.875773191424831e-06,0.0012872389478605,1.948276602589108e-06,2.2834959065202382e-08,8.63053029757951e-06,1.0784416518435619e-10,0.9902465036838088,6.058715574763819e-06,4.672618606045038e-06,1.3036974700062747e-11,7.339606770725935e-05,8.360875978928453e-08,3.936382807268167e-06,0
3.972132490932254e-34,1.843498167526273e-12,2.7675077736640857e-12,1.832311954905159e-07,0.9999467166320588,3.000085335209082e-63,7.975888559467581e-44,5.268517437983704e-05,4.1495775464429626e-07,1.6487384050521872e-100,2.402021819799516e-37,8.278998890018528e-25,1.4158488147343534e-19,9.765064578404937e-51,3.0409996277743385e-30,4.4395641073565255e-45,2.4462835808609023e-41,2.3050735575108773e-36,6.115033792085127e-21,1.7497133884713013e-35,8.503102191412888e-42,0
2.967389382266283e-112,5.949350943312816e-82,2.4719703701349583e-69,2.2531510094161072e-60,5.339326633675308e-34,7.514529107154662e-114,8.236585904393471e-08,0.1512853127908127,0.84871458503742,4.535097343870976e-36,9.345399007033195e-11,1.1500351151969852e-12,1.9711304207326403e-08,3.834670575638946e-187,1.5862388782187047e-74,3.5503226997028858e-37,3.4424655582057647e-18,7.104823717896223e-171,3.5577037904496874e-80,2.592689652145813e-65,2.4827460450405634e-31,0
