lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
0.29213107132392424,0.8729926322610265,0.07110903824562609,0.3534749941387644,0.8040815720834166,0.055869247358481776,0.3899174429060016,0.7034771621263739,0.04195328117505828,0.4059026713230271,0.5848360846706263,0.03155995994451481,0.4176636237185255,0.49317388272170526,0.02663741137927953,0.3366154586641512,0.5934701395180161,0.017349015514482227,0.351939810376896,0.45122953828566664,0.005850198540401381,0.36413335322322143,0.4174251295999268,0.015594080530923794,0.3724358249492606,0.418623482042714,0.027611523522282147,0.29510394879391383,0.5880048089274917,0.021110998359608175,0.3024352814963972,0.40920089880579863,-0.0011193095090786531,0.32025323441140735,0.3312907859380702,0.0012146198530408013,0.3358978755718348,0.292114230392581,0.008618958700384335,0.2624524172404484,0.6028803497960719,0.02798945802751342,0.2572241513333336,0.44649396498884963,0.008223469652016625,0.2758220496616005,0.38300302188115476,0.008927250802109203,0.2944346784681876,0.35320297781167337,0.014669462236906705,0.23805612920933084,0.6347067780934095,0.03689777525398424,0.2228853489700683,0.5016668995210004,0.024243505078343604,0.2302429443518693,0.43961799879092067,0.024766644011243764,0.24544302810209281,0.4050639082509541,0.029346423897914788
0.274745643474668,0.8813165546974142,0.058451865874900664,0.33773193001443486,0.8202354927886956,0.04335862477985925,0.37772685501724257,0.7207808514023801,0.030210672617005538,0.39754680509750423,0.6023646632064809,0.02084031769121572,0.4119585004561589,0.5117420129250775,0.015650071989586456,0.3271958693109735,0.6095010295890403,0.012315730877590445,0.35313258942947423,0.47157996504535993,0.00622149332127175,0.36722859018578685,0.4233979716744052,0.016798568669180065,0.3742433509439649,0.40964065277053263,0.02869157050260537,0.2841789995431389,0.5986407319544269,0.017936361528003222,0.29490669847178663,0.42587722799756483,0.004904237301755564,0.3097268178681361,0.3720016063139203,0.01544046977801795,0.3206584426734362,0.3585450538316818,0.029871040852672958,0.25045865977540954,0.6091755628640984,0.026125759511560896,0.24842675333084777,0.4498548367157657,0.013460638008733327,0.2678558575613835,0.3996777062979161,0.021720061791675144,0.2843891419777949,0.38757753467068967,0.03353470010671536,0.22544596919725107,0.6348805745477248,0.03556774652564062,0.22017258355662989,0.5004403872873486,0.026557100026805003,0.2331435641377249,0.44862815583951643,0.03110945799741936,0.24925954687768082,0.42911984852298507,0.04022192129120539
0.26916023789332755,0.9051165008039017,0.08000095140877622,0.33085895045632985,0.8529809416686609,0.064176512172369,0.3729443514166287,0.7517209274650458,0.04632553812250484,0.3926148363978561,0.6334653208478139,0.032204891356836234,0.40811508171733507,0.5448069204207306,0.020735638758051556,0.3231466108987924,0.645814308196629,0.021572390150067768,0.34254273911545785,0.4876263466147219,0.005228249990308159,0.35406906789660725,0.40815782040056264,0.004416936756005144,0.36181935162199563,0.3574407632506637,0.006698548450578157,0.2812117695373826,0.6327911753357846,0.026587868496145327,0.2944480275348492,0.46273674374418977,0.009837650201610499,0.309534610777922,0.43135355687300797,0.01970014650189675,0.3208089335030512,0.44354701365595506,0.03400112099996742,0.24752346876776646,0.6427481110002055,0.034885099596353095,0.2485851489281166,0.48000633499388606,0.01705397368494255,0.26689386567300066,0.4157969485979389,0.01853550260018749,0.2825810098962872,0.39099566334280583,0.024350823679121857,0.22228195846380716,0.6639542527388083,0.044995364617664145,0.21544961904836768,0.5287079492614534,0.031220451547222243,0.2277677035921316,0.4757266997409629,0.03198788093642778,0.24304833517211108,0.4518420210723241,0.03681612149605851
0.24111052937320646,0.9457143084718828,0.04666927248548122,0.3079553431486943,0.8984383369862703,0.030593556611075004,0.35027659040404635,0.798928874217889,0.01935296382717935,0.37302649199647725,0.6802271607700363,0.011341867554493214,0.3931957073336078,0.5919938492514183,0.005738836678055068,0.30890212614882234,0.669573449420723,0.011734542634003527,0.3319081224813036,0.5197280002711384,0.0037639415748098246,0.3459951339872397,0.44516101879173514,0.002643271105785088,0.35633894441394043,0.39423240786517594,0.0026928179357168028,0.2695122752305607,0.656656289260794,0.016084926623035005,0.29474474531725664,0.5006345462217675,0.009801489554241035,0.3128849894380065,0.42342418771678,0.008837964338350107,0.3275254399896517,0.37617281971126615,0.008022883262899912,0.2361013255462877,0.6639053685502911,0.021200167115872557,0.2550154075583856,0.524622785992731,0.013988036475717393,0.27313380540828125,0.4651513266582545,0.009900811892036832,0.2872224666700334,0.43252307493112724,0.006731501465370136,0.20974133161530278,0.6813017349577262,0.02621470034334517,0.21237881478802528,0.5499575612866913,0.01644217529362987,0.21552402373056226,0.4740993328079997,0.01027951369486018,0.22111700150829527,0.4163768083993337,0.006298086588022592
0.23608775678500862,0.9494404065089862,0.04261537640055867,0.30439922108267387,0.9011726793474264,0.030436672708713388,0.3481685183213802,0.7996221418916517,0.02085281041113412,0.37035010768364973,0.6824905515203199,0.014406771313106583,0.3912234971415944,0.5989917213822264,0.010333452517943511,0.30809311302406245,0.6729260083925495,0.01157234637530695,0.3283309725720978,0.524827559886958,0.00371637779274751,0.3413783141499767,0.4558558048879472,0.002584962379220651,0.3505013913197129,0.4118313414141568,0.002881644788863741,0.26838721323242004,0.6575714336366484,0.0146410144860453,0.29359203248838606,0.4955926704105762,0.007964938166868241,0.3101355897897229,0.4216701545309007,0.008055743738790873,0.32216181827804524,0.3795323728890002,0.008883471854811757,0.23443522622175522,0.6631202553670438,0.018843918864024502,0.2559260407740078,0.5149059009223107,0.012598327616075102,0.27391354848933397,0.4463027359463245,0.010565154994796966,0.28774867428330414,0.40552585494882,0.009025024720279103,0.20649663959531322,0.6823574190510979,0.023480324255364764,0.21598555601035502,0.5535568829064691,0.01665550660058135,0.22480920564512522,0.4876438994966259,0.014820649882485527,0.2341555925533525,0.44128929948862594,0.014493874390225984
0.22859815825878882,0.9409211624045597,0.0895872981911426,0.29655020928239895,0.9179484820517471,0.06764834513957978,0.34766646503084997,0.8383460244854164,0.04915073046194393,0.37713742046905263,0.7329295100767733,0.03362567198768227,0.4043908730516114,0.6524343018112098,0.021191279560311853,0.3135762198763397,0.6945329597067685,0.02730626176829399,0.3459811320375933,0.5424288850069234,0.0036801021582221136,0.3649337902270271,0.467280264609288,-0.004419071312822986,0.3800700665442215,0.4196885340810932,-0.008435931811808961,0.2744360850896606,0.6702241224937964,0.03125653549136788,0.30308545691156485,0.5010906169583127,0.0036428605790438592,0.32405235722381664,0.41368508922931074,-0.007450778298677178,0.3405887562180606,0.359398519672853,-0.01296119744046996,0.24168275744883522,0.6712148679228006,0.037924411394260074,0.2584999978187892,0.520955817006201,0.012935707046369364,0.277176136322145,0.4447214090219583,-0.0004524175894720789,0.29401884185038524,0.3927229544755876,-0.008421962645433406,0.21689816677779902,0.6919605400757578,0.04615452418883481,0.22111763696680273,0.5770430445554113,0.024711655259624835,0.2256572924794369,0.5107883708936602,0.012293656755910452,0.23204930848080382,0.45854390320140137,0.004812495742651239
0.23605774436054666,0.94983020345577,0.08153479633803229,0.3042445083095951,0.927075267641795,0.060354860224539855,0.3545287860461367,0.8465966480015585,0.0436048072574972,0.3832373059001251,0.7338891878815001,0.029097959933587263,0.4081177139249776,0.6496000783763501,0.017894322713992057,0.32205774325022624,0.7024931077084253,0.025336063547210436,0.35554355547513733,0.5490556793960876,0.00577740523018859,0.3739144147325975,0.47274039674338,-0.00032160504229455933,0.3874629086787996,0.41937383041293813,-0.0037049165642564427,0.2833174232900442,0.678327695684132,0.028913132639684456,0.315493713189946,0.5130122597302057,0.007937493795752128,0.33651216606393936,0.4303460485716001,0.00030251770376379244,0.3524776049574994,0.37765892673314355,-0.0042305697681138885,0.2505294645737201,0.6779530074333004,0.03446954139406192,0.27396092145275985,0.5326206878528797,0.01410298111001769,0.2938745471438528,0.4698710025041405,0.004654093854091587,0.3087741882382081,0.432392750888958,-0.0008126468880961177,0.22389979946276325,0.6925167278851533,0.04067131719657255,0.22774362382762117,0.5620474613352119,0.019328047352210102,0.2298082672888751,0.4878419316373559,0.007024111478839544,0.23223944614780676,0.42973847632279866,-0.0005325441422792607
0.24748791326841968,0.947306736785095,0.06935368961339006,0.31478109162958484,0.9204504573619275,0.04899073085843906,0.3642034569929818,0.8286749441189134,0.03453345397704865,0.39286453516728115,0.7147981164027493,0.024528541244712987,0.41700010725865644,0.6305662929737038,0.017502612059392013,0.33249005839526163,0.6923803519524788,0.016706539801664137,0.36558895767806565,0.5330582437714084,0.00523982877675188,0.38263947395788955,0.450313676374231,0.005814693828326903,0.39473953022420494,0.3925188429051409,0.006789006616891198,0.2929290115427885,0.6719196538361133,0.024328969350664448,0.3170068352141709,0.5139775819782753,0.014790378470745429,0.33387447796404035,0.47215893214396026,0.021747997171942042,0.3467814736750727,0.4611320994757515,0.028744969681581023,0.26033489073582605,0.6751505311801661,0.03363440849984988,0.27989919371597693,0.5279918303241853,0.022261206759745137,0.29972470692354963,0.47532858574148584,0.023381894483399238,0.31489176849690603,0.44801377270307396,0.0250595228400446,0.23498278328120809,0.6884920181726629,0.04288851305290691,0.24244519028362624,0.5547462269268992,0.027948951648577795,0.24800773941243578,0.4787229323260227,0.0208642981093037,0.253738269964782,0.4187012741535873,0.017055608171568926
0.2882557056784293,0.9515634686421521,0.04586340927117982,0.35609210004426384,0.9016125210498491,0.03403920131344801,0.3988543897960276,0.8012461759987733,0.024189224644650557,0.42181977918927116,0.6818424102425091,0.017371338645443518,0.4428987262577911,0.597582948985737,0.01255684273860637,0.3569441791505634,0.6681785810231639,0.011311406126921799,0.3777529549081771,0.5115489581710918,0.005432569095932125,0.3914443830300185,0.4336410378318221,0.007091921529671946,0.4023181954108277,0.3807343372019691,0.008609838833316518,0.31633793084051903,0.6550917582464139,0.015623587608678918,0.3317855761503189,0.501219340085726,0.0109662848221623,0.3475712210016674,0.4578269370486036,0.016250826392572592,0.36107795558921046,0.44538513140345737,0.021406172803769125,0.28287386206114534,0.6661381284512594,0.02158818897643113,0.29127636873600005,0.5120036138991687,0.013130736926581083,0.3083262011766664,0.44131042729837167,0.011101346193579591,0.3232602082645909,0.4007668273215659,0.010175459327851983,0.2580615547763453,0.689799130709887,0.028654503767491967,0.25565714762035174,0.5542810190073448,0.01918478729738434,0.26102172645942023,0.48136909718258425,0.015478705277828696,0.2688389379296875,0.4283179831359304,0.013902395456146814
0.31565337687478406,0.92057585865022,0.07773341430777952,0.3822418836014936,0.8698849340441409,0.0654442058775203,0.4183016590967714,0.7662029963444437,0.051320547768340025,0.43470531893764636,0.6410514629030154,0.0398703175533842,0.45416154148745147,0.5546293327981549,0.03387786271897215,0.3742749477036989,0.653496272588322,0.023165589276815633,0.3950402946439267,0.5064470114329412,0.009028215590643825,0.40729670936009954,0.45411693986106627,0.015444870413697336,0.41455095300456185,0.4358483259627657,0.024422443121004035,0.33350241723990415,0.6416162996314556,0.026062096384241718,0.34961744843857145,0.46034226885951607,0.00347148977902504,0.3669769806864142,0.3794091947143731,0.006441216988488336,0.3798182604610652,0.33481956874269936,0.014034822163532237,0.3001051209003729,0.6505336627417427,0.03227581336477674,0.30205823189399805,0.4874501637468783,0.011342700572506276,0.31869252416283433,0.41462385466489277,0.01221405210041426,0.3327436027500405,0.3735533763165908,0.01761596650911735,0.2754650331230244,0.6756715526027914,0.040683511355271276,0.27166294901247073,0.5370002207965809,0.025035654885487972,0.2788988079910774,0.4667318825031437,0.02395916001223976,0.2891286692111429,0.42135287766509644,0.027312062454368683
