LDA_feature,y
-3.8935150200741164,0.0
2.515706904057774,1.0
-3.9099351171885286,0.0
3.6137178967424908,1.0
-2.786185634804362,0.0
-4.635539938452538,0.0
2.326053331458123,1.0
3.655936910195954,1.0
-3.4461691671917505,0.0
-4.304738141688332,0.0
3.555141499784201,1.0
-3.559526004538205,0.0
3.8822973434157166,1.0
3.3525762667710115,1.0
3.9571251543986574,1.0
-3.6026620691986464,0.0
3.5352969163760912,1.0
-1.0425036131461998,0.0
3.542824554224281,1.0
2.999172934855316,1.0
5.2566168198679755,1.0
3.143264321297273,1.0
-0.11533447938262548,1.0
-1.9158597279805458,0.0
-6.056505515942947,0.0
-3.878081540716248,0.0
2.9939529221103065,1.0
-2.7774642628012645,0.0
-3.063349121128623,0.0
3.0124315060115783,1.0
-4.041347747544549,0.0
-3.5542684646422433,0.0
1.5676311719758251,1.0
3.9464468152554835,1.0
4.193380838273641,1.0
-2.4549161159309656,0.0
3.387881418404394,1.0
-1.7432189776298923,1.0
-1.1666318810634082,0.0
3.748076706807505,1.0
-4.225440901451378,0.0
-3.756727256129726,0.0
3.6116311167132507,1.0
-0.4601423731087855,1.0
-2.5259206013256446,0.0
-3.3641744127801623,0.0
-3.557725378022922,0.0
2.262051095351659,1.0
2.8269514393665442,1.0
-2.812254997795285,0.0
-2.5530567182718062,0.0
3.3073217101638233,1.0
3.455978542080604,1.0
-2.948808200313425,0.0
-3.636910539593794,0.0
4.63785827733931,1.0
-2.7137530651605735,0.0
-3.5775585935757883,0.0
-4.4625498976444105,0.0
3.4071005486907615,1.0
3.8418666065829497,1.0
-3.612495048402482,0.0
-2.9511395449921767,0.0
-1.6231307754527609,0.0
4.019545377575559,1.0
-3.755536507095628,0.0
-4.268250510199739,0.0
2.9600919463732858,1.0
3.9022043821445003,1.0
2.830347179373226,1.0
3.282106914944216,1.0
-3.3343328612449286,0.0
2.7703754304554797,1.0
3.4711041988671036,1.0
-3.8921289497539564,0.0
3.320102186039059,1.0
2.245431391012559,1.0
-3.345631638732972,0.0
4.23835858865394,1.0
-3.7641554419730348,0.0
-4.0074787466711905,0.0
-4.007182818211576,0.0
-2.9297147848478757,0.0
-3.6618112351323413,0.0
2.3970943086176177,1.0
-3.0576709514509757,0.0
-5.835034639593653,0.0
3.7315963839290793,1.0
-3.0692686635866187,0.0
-3.9135462462404216,0.0
4.172543999994315,1.0
3.177171970437559,1.0
-3.15361445594168,0.0
-0.6695403960428031,0.0
3.5163595087370556,1.0
-3.7109133974023565,0.0
4.083071848607556,1.0
3.0206162754206574,1.0
4.112377081755225,1.0
-3.8259236272212087,0.0
-3.747797470458192,0.0
1.5311599012478005,1.0
-3.286956053777387,0.0
4.025409925780524,1.0
3.2657014622857847,1.0
-3.8927567381596972,0.0
-3.8509471078029125,0.0
-2.788091308305357,0.0
-3.4158702508844776,0.0
4.269131628125853,1.0
-3.220387262451246,0.0
-3.967139376126149,0.0
-3.3928191370859953,0.0
-4.097578975959194,0.0
-2.852494044795001,0.0
-3.3539344104814575,0.0
3.9778905653550387,1.0
-3.98665367367963,0.0
-3.0272742738694465,0.0
5.686239105639514,1.0
-4.366001401085515,0.0
1.186876342193816,1.0
-2.0824214974894217,0.0
-4.06746074642593,0.0
3.590563221833383,1.0
-3.7536307645562195,0.0
4.116968380983971,1.0
4.155646699681839,1.0
-4.44841735406102,0.0
3.227723602338015,1.0
4.293752238337223,1.0
-3.033149005983023,0.0
2.375303180759097,1.0
-1.7235324213177925,0.0
4.7000203305916175,1.0
