LDA_feature,y
-4.090328289228603,0.0
5.106732496902747,1.0
-3.3915802214018385,0.0
5.059709521704669,1.0
-3.0103497662598215,0.0
-3.9761446189175422,0.0
4.059067666364967,1.0
5.6006714111085625,1.0
-4.270149820974709,0.0
-4.233640199720588,0.0
4.722248648950149,1.0
-4.435770656022717,0.0
3.7778789513438777,1.0
5.034054600516567,1.0
1.5901126304811104,1.0
-3.5690201016278955,0.0
4.487500214780115,1.0
-3.3608633403705137,0.0
2.942132476864696,1.0
4.029300886498885,1.0
2.0964670480519754,1.0
4.087986635695062,1.0
-0.26085350372914995,1.0
-2.4576203259326066,0.0
-5.384390344492011,0.0
-3.957396472647723,0.0
5.28739820247918,1.0
-3.516389266193407,0.0
-2.0896930662866318,0.0
2.0177567910739143,1.0
-2.3474569202614894,0.0
-4.098238273454083,0.0
2.27554866184801,1.0
4.834102045143302,1.0
3.7662292500483834,1.0
-4.657823371818381,0.0
4.302013327308487,1.0
2.649312786919972,1.0
-2.0705963983303595,0.0
4.79936002858373,1.0
-4.0122906124301,0.0
-4.067487179465074,0.0
3.4419561524497837,1.0
2.3763291341876034,1.0
-3.5166303319361276,0.0
-3.6461628478817474,0.0
-2.666273751076925,0.0
4.202761723842992,1.0
3.734494348488205,1.0
-4.040986110538636,0.0
-3.259007287390226,0.0
2.28871712859867,1.0
3.181902561295484,1.0
-3.8177349714678797,0.0
-4.489924007530725,0.0
3.9403056959904452,1.0
-2.6734859577013177,0.0
-4.182389492825287,0.0
-5.000356376654054,0.0
3.5316513395792115,1.0
4.170328186827179,1.0
-4.762319299203062,0.0
-4.133499239628197,0.0
-2.3785180458628012,0.0
4.43420517246112,1.0
-1.6743839643909766,0.0
-3.8041376408908647,0.0
4.006402075005363,1.0
4.04659712251294,1.0
3.19795371349492,1.0
2.4088913662175178,1.0
-2.072811966303501,0.0
3.001766614876825,1.0
3.939924420758844,1.0
-3.2055730222371706,0.0
3.3861513796691085,1.0
3.4851165001907702,1.0
-3.785559747635941,0.0
5.642460696654651,1.0
-3.4091236898127693,0.0
-3.8872136751246593,0.0
-4.739546442504967,0.0
-3.9864697695419267,0.0
-3.49549890031507,0.0
4.400845358351077,1.0
-3.656970512313233,0.0
-4.371596359531875,0.0
4.07083222530161,1.0
-4.6711451458041395,0.0
-4.243361380524313,0.0
4.660001422871264,1.0
4.325816006871763,1.0
-3.477835936998286,0.0
-3.0851615251367868,0.0
3.7183303725759327,1.0
-4.041548640308447,0.0
4.006512740604734,1.0
4.94858925183367,1.0
4.500014901484176,1.0
-4.977974178482899,0.0
-3.4334824426465955,0.0
4.364148138633809,1.0
-4.575242489386959,0.0
3.4864624743819608,1.0
5.079425774593753,1.0
-4.178602767870949,0.0
-4.49748390094237,0.0
-2.9884253643075684,0.0
-4.016123052583142,0.0
3.6962230998055183,1.0
-3.219115374046339,0.0
-4.428017642887115,0.0
-3.2418625444434888,0.0
-4.250258842503765,0.0
-3.973748862529474,0.0
-4.431126114214429,0.0
3.316607743703023,1.0
-3.886575222718662,0.0
-4.456019799069665,0.0
2.355375232688896,1.0
-4.02781092124359,0.0
3.9693641282529235,1.0
-5.281502960231131,0.0
-4.22625048158347,0.0
3.834300230502346,1.0
-3.769068588918815,0.0
4.14051836524586,1.0
2.9714722427655875,1.0
-3.9016943994168507,0.0
3.9544831368104294,1.0
2.856031537137751,1.0
-4.370340101921498,0.0
2.017227591153727,1.0
-4.008652696214373,0.0
4.189393115938863,1.0
-4.360125678400266,0.0
4.433303191628016,1.0
-4.369013119378597,0.0
4.148160203156115,1.0
3.2499622111029165,1.0
3.587343283363695,1.0
-4.049724012665395,0.0
4.2754406032241326,1.0
-3.9670115347246497,0.0
-2.9427659192813147,0.0
0.2447325035280623,1.0
4.568042669281264,1.0
5.086078517817203,1.0
-3.710364496716869,0.0
4.65283171518394,1.0
-5.482956913173968,0.0
4.333234346555184,1.0
4.38439972874284,1.0
4.16682114920575,1.0
4.6078488564073705,1.0
4.578778750472008,1.0
-3.7964281848960937,0.0
2.5936717925043666,1.0
-3.9246889999294012,0.0
-3.9409164335659375,0.0
4.84439935775867,1.0
3.561412978133644,1.0
-1.8155141701828335,0.0
3.7783586283866075,1.0
5.6924096858002855,1.0
-4.44146270871374,0.0
-4.682294329544902,0.0
-4.080146515776466,0.0
-5.644140295276468,0.0
2.7825355838394303,1.0
-2.4082784897374188,0.0
3.950595203393064,1.0
1.9788020067434342,1.0
-3.6099018241045333,0.0
4.1013813060035496,1.0
4.6178275290004525,1.0
3.5238438458034285,1.0
-3.7433122687548845,0.0
3.200264787187696,1.0
-4.0621741640305284,0.0
3.9718136868072715,1.0
2.4635300801353237,1.0
-4.490201940677487,0.0
-4.111176978985957,0.0
-4.508575735295331,0.0
3.8907744290840514,1.0
-3.7537980786329044,0.0
3.857078845632007,1.0
-1.823455347022738,0.0
3.7479093207563565,1.0
-4.009983116601498,0.0
-3.926170687094036,0.0
3.3310715155280857,1.0
3.6678727477005904,1.0
3.503838570233121,1.0
-2.6618915112183545,0.0
-5.077677303180443,0.0
3.035108414818153,1.0
-4.587564983376212,0.0
-3.9704434871116696,0.0
4.155656609352656,1.0
-3.148501348832226,0.0
3.0548944583180777,1.0
-4.370711961296317,0.0
4.548486644528669,1.0
4.098548658399493,1.0
-3.4222847693645084,0.0
4.751374478361992,1.0
2.314774463191121,1.0
-1.289430512503266,0.0
3.504143510291394,1.0
-3.6211968582814826,0.0
-3.3212414795702774,0.0
-3.8283208367420904,0.0
-3.7860967262256935,0.0
-4.859158344291117,0.0
1.8012474266554328,1.0
3.259237686626974,1.0
-4.133986734276466,0.0
3.6046494729003786,1.0
4.353342534516866,1.0
3.614228899669257,1.0
-4.261311309173404,0.0
4.9071311417998995,1.0
-4.6295618999266175,0.0
-3.468176322876708,0.0
-4.8046586556461435,0.0
2.7992858201543864,1.0
6.299238509134922,1.0
4.3122629688874135,1.0
4.065854876555355,1.0
-2.5769749697736337,0.0
-5.097024389470076,0.0
4.710167577998515,1.0
-1.9295673105214752,0.0
4.088307277862617,1.0
-3.807840765900731,0.0
3.9801964341971487,1.0
-3.7751718780809043,0.0
-4.284023171952061,0.0
4.598603244524693,1.0
-3.6830350240776255,0.0
-3.725360122303287,0.0
-2.5707034962122144,0.0
-4.4411767556892485,0.0
-2.2107693769167813,0.0
3.103403440792091,1.0
-1.5024835870585864,0.0
3.8510882184985276,1.0
3.7665963054199727,1.0
-5.220761393931191,0.0
-7.354994998061933,0.0
3.8079741989481155,1.0
-4.457640065581987,0.0
-2.868508322268992,0.0
3.6144862773969884,1.0
4.859940213857388,1.0
3.7988167319111037,1.0
3.9589547956515467,1.0
4.131317231023975,1.0
3.4918223863692024,1.0
2.2586482625543667,1.0
2.345311011686134,1.0
-3.6455088755715668,0.0
4.96602942122821,1.0
5.029653889463564,1.0
4.727373829333856,1.0
-2.796090941580145,0.0
-4.506129649510937,0.0
-4.115055971785498,0.0
-1.500732566344793,0.0
-3.1473417973178996,0.0
2.91035802119362,1.0
-3.3040368592500347,0.0
4.0887756381276645,1.0
-2.97848889277992,0.0
-3.0892852875536008,0.0
5.139323290632934,1.0
3.551168941981583,1.0
-5.807562179292063,0.0
-3.261936802070551,0.0
3.2103331799124923,1.0
2.5236943297029395,1.0
2.9136234431209562,1.0
-0.5927110069900758,0.0
2.9172641521144396,1.0
3.679194205082057,1.0
-2.075750469820461,0.0
-3.729173912075604,0.0
3.3788618463820583,1.0
3.7955260427485826,1.0
2.022507013670129,1.0
4.085807653691876,1.0
3.8195097902516313,1.0
-3.1260670444301084,0.0
-2.5254037653689014,0.0
1.8768510566525407,1.0
3.5269058604546544,1.0
-2.607415766352915,0.0
1.7597792686526739,1.0
4.272682463851446,1.0
3.1552535930743257,1.0
4.173710365231951,1.0
7.659788773963424,1.0
-3.651428028330895,0.0
-3.0803243402609013,0.0
-3.8847050504329346,0.0
-5.442223371466928,0.0
-2.4227162348236786,0.0
3.766388228660327,1.0
-4.8442880962005574,0.0
2.4421688071680077,1.0
-4.065935853751219,0.0
4.1300902365529355,1.0
-4.046437376099755,0.0
-4.336868699600477,0.0
3.846514440570898,1.0
-4.836943312999473,0.0
