lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob,y
0.99999525186478,4.3315214143215035e-07,2.586282259253468e-09,9.410184318530594e-13,4.349448467441337e-19,3.964854776999652e-06,1.6780986236995982e-23,1.7840938570102846e-23,1.459403580743618e-21,5.323440246162925e-08,4.656392604366359e-17,9.19052138967999e-16,3.249077897808273e-16,5.3219591680216354e-08,1.82583204800261e-17,8.08488059669259e-16,1.3556443464065403e-14,2.410848321620901e-07,2.185123108205732e-12,3.0124189838092306e-14,2.1335296490617823e-14,1
8.24125606995847e-110,2.026013387690928e-57,9.364763132821787e-39,4.215222121643351e-48,4.822267887648741e-86,1.1511623544471958e-93,5.659487175260793e-120,1.2580380202328185e-88,7.75524806845208e-71,1.8836970603234398e-38,5.620842539645196e-153,3.1018952943848357e-80,2.6402881749313344e-53,5.3930923873625434e-08,1.8633477441441196e-72,4.206486545992539e-57,1.0340335619601404e-35,0.0963688947942357,8.650866140855196e-07,0.002574351558735,0.9010558346294912,0
0.3715726016991897,0.0047768291468839,0.0011937953875694,2.5012916938230067e-05,2.7168330481113193e-09,0.5171807476541059,3.668201418703572e-11,2.8733190615189585e-12,4.303516064105445e-12,0.0664103779271238,1.7167026560113962e-08,6.9460921332709084e-09,3.2170981394345785e-08,0.026876663519532,4.86810128747938e-07,1.957478103150857e-06,0.000231706952062,0.0117296114481484,1.5401673520780415e-09,3.916752106962948e-09,1.445585030865774e-07,1
0.4473318888735266,1.883938451175745e-07,0.0001880655883249,0.0112388188494928,7.421172758836192e-07,0.540233460291069,3.180618474745554e-09,1.4229409138787813e-13,4.900190369588787e-15,6.673223512187132e-05,0.0008293191316942,6.677213102628829e-11,1.1255824757927173e-12,9.611789206324274e-07,6.858871603705277e-06,1.4338112637822202e-14,4.7074599150763706e-15,2.481316843409825e-09,0.0001029560482629,2.690511986819083e-09,3.5105424941622974e-13,0
3.02586457791276e-13,0.1818353759272904,0.0322611326097051,2.1227607099161686e-10,2.7692401622170008e-14,0.0022523611697755,1.4460064899745733e-05,8.753888954445307e-09,2.657315609744472e-08,0.7836333955934377,2.7637454927519395e-10,3.4559529006245014e-08,2.9927914128137225e-07,2.6951184822103934e-06,1.2219127348448077e-19,1.0723839266925031e-09,2.0867048762005654e-07,1.188272876996203e-10,4.617838318968164e-15,5.185319588956209e-17,9.735493220298451e-15,1
7.598950580587596e-39,3.390124752389678e-54,1.7205746507951218e-38,2.1442281196945994e-26,2.2294043993784797e-11,1.2647677643109393e-17,4.495921706012726e-08,0.000683466863154,1.1434306824992135e-06,9.007910878982121e-25,4.0944415232915726e-11,0.9440101757414036,0.0553049257237748,3.837355617722547e-28,1.3232866337492646e-17,4.918161229007986e-14,5.810813146259545e-12,8.640021330514641e-24,2.2221800025194625e-27,4.58153801769632e-16,2.432126690650692e-07,0
8.979335771175221e-12,8.875871302563062e-06,0.0006452044405333,0.1037789686776563,8.521468250118343e-09,5.426234173318393e-06,0.0014937093609277,2.3765128122122404e-09,3.038376348865356e-09,0.032568901102765,0.7366568322937828,8.266659777309372e-07,5.5900281349378186e-08,0.0006118380578716,0.0156372064125058,1.131761591667584e-05,1.0260541439627518e-06,4.048387347183375e-05,0.1052303617643616,7.736600152143759e-05,0.0032315857274696,0
4.883563882782701e-20,2.8254284090261184e-12,7.645670421153424e-09,6.679136747776838e-06,1.9507596028694258e-06,1.6733946173718576e-06,1.6235802366150476e-10,3.848013153247527e-10,6.340926425377923e-10,0.9984745998529188,2.4822447355930284e-08,1.2045027309844224e-08,1.1068587972343376e-08,0.0014725140264324,5.676478737529313e-06,2.721369977640896e-08,4.036607061520245e-07,2.0788670385323992e-08,5.904913373158477e-09,3.585275305264631e-05,5.392640903168678e-07,0
5.184460328618168e-29,2.9148213468298635e-41,9.565208552553492e-40,8.920937635497578e-24,0.9999963973588112,1.914732465429533e-121,1.5327532715847383e-34,3.602590428269687e-06,5.076061955808701e-11,1.9505784215753048e-131,2.966228393890336e-38,3.248279562490321e-23,1.0019317705899874e-24,3.4550533286811424e-78,1.610912793404711e-41,2.9136498699981455e-42,1.443015749789933e-38,1.7249740011855166e-43,5.880186339767681e-17,1.927828155822116e-25,1.3699140609910119e-33,0
5.948355090875206e-66,1.1733449081866112e-64,4.175139807161016e-71,6.449891085050469e-86,2.5055319422108576e-51,1.6050100205735924e-81,0.1198649941245478,0.8290691797065791,0.0510657863267107,2.662398349155078e-27,1.0362529790388776e-17,4.428500704821031e-16,3.984216197643574e-08,4.812513317019243e-90,2.6159803523000023e-72,1.884720017815197e-46,4.619509433007909e-26,3.698158707031043e-97,3.0574224278292566e-69,1.200242514547728e-46,1.3669166340021723e-28,0
0.0001064057094154,0.0003131838666927,0.000223232676211,6.430823723525712e-05,0.0022766871791891,0.0065487872446395,1.4361662564440016e-05,2.22291889662264e-06,3.195011664583997e-05,0.1363357493023138,0.000132813189287,2.4126822747810428e-05,7.607373159417982e-05,0.150070636766979,0.0151499909512046,8.522114746826934e-05,0.0003942627913459,0.6362121807667178,2.913533858373806e-09,0.0462082456735318,0.0057295563317854,1
0.7500082803850415,0.0006332543241521,0.000176265969497,2.200725713890995e-05,1.819005392124364e-11,0.1471988988555765,0.0301694311046367,3.592591390922387e-06,6.773648682674317e-07,0.0060839820867958,0.0616534485237608,4.053421277346837e-05,6.374413541400754e-06,0.0010695577433908,2.8727242762168126e-10,6.432909918169048e-08,1.3669796547629706e-07,0.0029334937055984,1.2483351824378134e-10,3.948541095853821e-12,5.280032444683325e-13,1
1.9404024375386585e-07,2.2377669092377654e-09,3.6229437342510477e-10,1.7338433463702601e-10,9.193730351964196e-06,0.0082975594187336,1.3603149724720406e-07,7.187816946765209e-13,1.6054434231625681e-13,1.8907935046708925e-07,2.8543823633064085e-06,5.220014716570294e-10,2.4014130584857903e-10,1.1990124991866162e-05,0.0046949857958518,1.6357407177695926e-11,3.500131262443708e-11,1.868799366757239e-05,0.0001975227676172,0.865890202900393,0.1208764801471116,0
0.0003591739305016,0.0203695078785607,0.0264874281364495,0.0035326670952572,4.499629130933298e-05,0.9160899173797348,9.642339853957676e-05,2.2845483783139845e-08,3.5636350757413045e-08,0.0108975741741643,0.0001653765802646,1.7916135824749734e-08,1.7570779692335119e-09,0.0078464382591252,8.10585176714321e-06,7.978288780671177e-10,4.4264605495525136e-10,0.0138357414161282,0.0001663649334072,9.989010038014317e-07,9.920637826317976e-05,1
3.660444695008472e-73,6.671398433261632e-55,1.100852081832031e-43,2.6372861148671185e-39,7.357817050693612e-16,5.301885475878895e-25,1.4764000884450373e-13,0.947108062419226,0.0525947363176513,1.4565884830548328e-22,1.190144928994072e-20,0.0002971779846846,2.327828102448283e-08,1.1262097948661659e-38,8.625576961398089e-15,7.718520108511922e-25,1.4588061707010952e-29,1.7252214014275208e-65,6.850586701191031e-75,5.306356608053617e-37,3.8994871321760297e-23,0
0.9965395577797184,1.921598411350098e-06,7.895406111331189e-08,8.736071501209981e-09,1.379242248728583e-12,0.0031691502719226,1.0383606080744521e-08,7.623061367390975e-09,2.1114727257302897e-08,0.0001431856887878,1.1375483268933274e-08,3.010049143600443e-08,1.2518241933578226e-07,5.637987540228512e-05,8.865589317579324e-10,4.1716473168604515e-10,4.1661562118605575e-08,8.945836900175394e-05,8.453392376980514e-09,1.870189354607803e-10,1.3397579993091203e-09,1
2.17582054390512e-06,1.6267177741539753e-06,6.2637887462127605e-09,2.8355091340617188e-11,3.3383597318809275e-12,8.090136135885227e-05,3.5855074293659086e-10,6.80361798496932e-11,1.8734808858811436e-11,0.002438694537841,9.317953327386188e-07,1.1197114783155356e-08,5.837377072528881e-09,0.001865957132005,3.073926386053398e-06,1.099957693574984e-09,5.798489346297941e-09,0.0023816358741404,0.0002918882644737,0.8278946775144788,0.1650384063819223,1
0.9999999999999948,1.0509290753734076e-31,7.649115902581295e-51,3.466920231978637e-45,7.426078795974621e-47,1.2340095802386374e-63,2.373293237643983e-62,1.874794124828064e-54,3.2239925310432925e-51,7.172258820354429e-57,2.2601928569128147e-61,9.69114940941628e-57,3.79563211623586e-52,2.992364350809084e-34,3.462870271801393e-32,3.638461934182475e-42,1.8548656358482944e-41,5.006376226832466e-15,3.8789785629785244e-19,1.1269057202042775e-16,1.487624657584829e-20,0
0.4045048170992868,0.0134210600121723,0.0090949356971494,0.0016128059919771,2.114085315985537e-05,0.517588507392195,9.225895748936084e-07,1.105668121867735e-06,6.3633060519359695e-06,0.0289633004230863,1.7007710523164303e-05,3.5527172725251023e-06,7.928184781443467e-06,0.0087767672759607,3.00116645299696e-07,1.1897974262104683e-05,1.793808153691515e-05,0.0159495329767556,2.674297858705318e-13,3.091281775618763e-08,8.501640118799344e-08,1
0.0216479250049635,2.750611073573244e-05,2.5605648031699912e-05,1.2203654414150382e-05,7.84783986871539e-08,0.3343971082054905,3.371091790376088e-07,1.3346957388039966e-08,1.480581811877006e-07,0.6403673386799575,3.4824568381789107e-08,2.07373139450336e-08,1.1732305914217054e-07,0.0035051764523036,1.3981114431279848e-05,3.9651260337807375e-10,5.071472257646557e-09,2.399134635351577e-06,9.164303153447672e-11,3.039842833446538e-14,5.577204910187813e-10,0
0.4381578427222291,0.0025287975017424,0.0006959461466445,0.0005451755341935,0.0001072296802089,0.5532420696399506,1.7455218945041822e-06,8.1318218761355e-09,1.246663637170736e-09,0.0044736336908746,2.824109631151355e-05,2.514077733573372e-08,1.082650225058034e-09,0.0001118424883327,4.106985615084481e-07,7.425050555774294e-12,4.458907695649845e-11,0.0001043215154235,2.373680041805308e-14,2.282976533859332e-09,2.705826704907639e-06,1
6.194794467736559e-10,4.7393449385550735e-18,2.676647589831245e-16,4.4730665896097494e-20,4.061393546520186e-09,1.9417682056899024e-10,0.8886733449081957,2.1546183405925825e-08,1.2532515396132703e-09,5.947629628988328e-10,0.1113261491722295,2.5367984331561634e-10,2.4449941939585312e-11,7.662036759584544e-11,4.537795735929122e-07,6.381351733509631e-11,1.0670692545355329e-10,1.5260100713175304e-12,1.5951179602635205e-08,4.7121837189096045e-09,2.6805932107099284e-09,1
0.0094867370788309,0.0199163350176829,0.0001438516536487,2.494238905562801e-08,2.448064465593944e-06,2.240508820492284e-09,0.0004625649329408,1.1046464825485769e-07,1.2326776184445496e-08,0.0063854598322816,0.0433792487685723,7.959373781256282e-05,1.779800609379894e-05,0.0508785203372202,0.0003761433776833,3.358385420166782e-05,6.680258212517708e-05,0.8526723369262635,4.089884660150007e-07,1.4886959898039175e-05,0.0160831299074903,0
7.329505969721146e-31,3.2737219528702974e-18,4.9986042883366366e-18,1.4342465525873429e-18,8.303805209716903e-20,1.9243424201703363e-24,4.565221472320513e-05,0.0029312809159032,0.3085869587032424,1.3353523663904496e-14,1.034976024615799e-06,0.0009134336151146,0.0547487692764848,5.493866873866131e-13,1.3670788736377138e-17,0.0002420942954653,0.6325307069325776,3.724276474763378e-15,1.5990401553555618e-17,6.906958147368319e-08,3.161182567232175e-13,0
2.4622161195862892e-09,6.672342174848957e-11,9.66791979446366e-12,1.3666869193150346e-09,1.7488065373794502e-06,0.0003898783791617,2.4239085299445858e-05,9.674173724088537e-06,0.000415640074487,0.6275628507520475,4.70174112630325e-06,0.0001590674047085,2.891919551611291e-05,0.3417402121227016,2.211603444566272e-06,0.0001354739430829,1.06654672842338e-06,0.0284224066712125,2.478286822436384e-05,0.0010766684934349,4.542332680985155e-07,1
0.182010154407734,0.0004517160527636,0.0001385108739789,8.949354481324885e-06,1.0825203559026509e-06,0.8146711264814731,1.645007408110179e-10,4.150445368238008e-12,1.047942707222383e-12,0.0015423525004167,7.567010562822567e-09,2.1229693204863975e-11,2.1666682924670188e-12,0.0001957959072865,0.0001245547059063,1.0040574795607896e-12,9.482679283192157e-12,0.0007494201305636,3.002459942863867e-11,4.916369950348583e-06,0.0001014128944719,1
0.0118902233392539,0.0150392796343716,0.0002756703655009,3.0090948341767e-07,0.0310695980340131,0.5036822445170698,0.0008210795246472,3.171002133209449e-11,5.675221253321641e-12,0.437017504260235,1.5075004075585344e-11,4.937075921505307e-12,1.1857796844646896e-10,4.526381738013393e-05,1.640286542111378e-15,2.93282484330354e-12,1.239862062490964e-09,1.772886422037464e-09,1.0460862084634804e-13,1.4733433935660595e-05,0.0001440989723464,0
