lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob
0.13233873197008772,0.00876037687832404,0.03592711720312835,0.1465080580455853,6.1253827981294625e-06,0.5181127040238847,0.0002987706827049471,2.0539579337326155e-08,9.068245136683723e-10,4.621773682873825e-06,0.00023855479569324497,1.0169487452412979e-07,9.292545606990262e-09,1.1211508257803801e-05,0.004746218098290248,8.341229124679479e-06,0.00010790729111862737,0.00022277008952563643,0.02850195525679751,6.53489567560792e-05,0.12414105438041616
1.3610709819118653e-30,2.4682782384086742e-23,1.58797514497572e-25,1.0416550369437478e-16,1.4541116438934888e-11,5.799910066432165e-14,0.00011771590258696915,0.40986655890668633,0.5894197462478098,3.447375438049399e-51,1.9130774606581758e-23,3.469365532706563e-05,0.0005599159880781156,4.290699767013007e-52,5.491867796865611e-24,2.786614509214665e-12,1.3681971336811836e-06,7.088913236749263e-37,2.4787202394414612e-24,2.450296562880536e-13,1.0847472258053202e-09
1.7346391099023206e-09,0.0022989045502148013,5.986309930769948e-09,6.060720547692017e-09,2.6009514429118356e-06,3.686981269723811e-05,2.8987726000967554e-13,4.779746543912581e-12,3.897663353318948e-09,0.997659700698447,8.838540639384073e-13,5.079256782713389e-09,3.124460957002213e-07,7.920031168503923e-07,7.37556137540545e-08,1.787589830189624e-08,7.046270579633798e-07,8.365854890022602e-11,4.246801912914009e-10,6.533370768458163e-12,2.4369389444943905e-16
0.20619907228829962,3.9783405364726163e-10,7.53741205412708e-10,5.337866787852619e-07,3.089111192360614e-11,0.07800563299074716,4.142546825166558e-15,6.110896519914576e-15,9.645923476294095e-12,6.70937145458545e-06,3.7405873219615515e-11,6.800902436771245e-09,2.443610310199517e-05,1.51536442241347e-05,2.793398347786782e-06,0.0012424479895157133,0.7142113029575615,0.0002890988803737036,2.5729889688351592e-06,9.486372151973764e-15,2.3757028567104224e-07
0.9999846045872915,1.4583496877114993e-05,5.1241832520306785e-08,1.0293916490864813e-11,9.30706330776505e-18,6.509563588040784e-07,9.624034534317189e-20,1.857383461709001e-20,1.6821779569596373e-17,1.4914856666628444e-08,2.599426972370351e-15,2.925469105319665e-15,1.1345349056339768e-12,2.9172062794010906e-08,7.539621476781626e-18,1.564544294563849e-14,3.7189336498236606e-12,6.560282616584632e-08,4.1464565209576206e-13,1.2308154236950001e-11,2.9298004094801927e-15
2.462216119586289e-09,6.672342174848958e-11,9.667919794463661e-12,1.3666869193150346e-09,1.7488065373794502e-06,0.0003898783791617034,2.4239085299445858e-05,9.674173724088535e-06,0.0004156400744870308,0.6275628507520475,4.70174112630325e-06,0.00015906740470859177,2.891919551611291e-05,0.34174021212270167,2.211603444566272e-06,0.00013547394308297263,1.0665467284233799e-06,0.02842240667121257,2.4782868224363837e-05,0.001076668493434989,4.5423326809851545e-07
0.9707829699456985,9.373481610767369e-09,2.8512126536089592e-08,1.978488123399873e-06,2.4876808249986573e-12,0.02919761021780985,2.1941773852710626e-13,5.971217843079499e-12,1.7365494060376388e-08,9.407947956952159e-07,9.148102122451407e-12,8.262980490057713e-12,2.1550537919683413e-10,1.261340006473549e-06,1.0597921524238703e-07,1.3252258676647704e-08,3.4667746820941117e-07,1.4439940064650386e-05,2.410678022655859e-07,3.076150639004326e-17,3.6804060125743314e-08
0.04139989869813183,0.004567939998504597,0.000737386842059944,0.0012107446305434973,5.317992564251868e-06,0.7612162029001938,5.35438347201738e-08,1.0352082486454233e-08,2.6319462246618035e-06,0.022646306637172892,1.7027000090009666e-06,1.1199695404630877e-07,1.6266407848478244e-06,0.029036528666076346,2.1048053691192357e-11,1.1458164437058633e-05,6.0660042208856824e-05,0.13893608791194004,2.8922315050068012e-08,0.0001653003976522731,9.952620840570456e-10
1.1623150772757501e-07,5.725093926411508e-14,1.9699097108631962e-15,5.442004728244721e-13,7.656412261323189e-07,2.2679939630791156e-14,0.3092882390180714,4.492534837031853e-06,7.767075254150133e-08,1.1286551532570264e-19,0.6868473619598402,0.0026798085188804673,0.0008327956588277446,1.0047918050087114e-17,1.1292883908161765e-07,0.00011483186856748611,0.00022791369190368018,4.8733823498959035e-18,3.0131969829276344e-12,9.74091695861777e-11,3.4841756980354722e-06
0.7500082803850415,0.0006332543241521524,0.0001762659694970849,2.200725713890995e-05,1.819005392124364e-11,0.14719889885557655,0.030169431104636716,3.592591390922387e-06,6.773648682674317e-07,0.006083982086795874,0.0616534485237608,4.053421277346837e-05,6.374413541400754e-06,0.0010695577433908656,2.872724276216813e-10,6.432909918169048e-08,1.3669796547629706e-07,0.002933493705598443,1.2483351824378137e-10,3.948541095853821e-12,5.280032444683325e-13
